scaffold	start	end	mid	sites	ML_rho
chr18	1	100000	46560	3995	0.00600000
chr18	100001	200000	144250	3257	0.00400000
chr18	200001	300000	255763	3156	0.05100000
chr18	300001	400000	358576	3262	0.02900000
chr18	400001	500000	444648	4045	0.00600000
chr18	500001	600000	548369	4852	0.01400000
chr18	600001	700000	653655	6525	0.02900000
chr18	700001	800000	751285	5564	0.01600000
chr18	800001	900000	849423	6993	0.05200000
chr18	900001	1000000	944873	5912	0.06700000
chr18	1000001	1100000	1051066	5959	0.03400000
chr18	1100001	1200000	1143799	6078	0.06200000
chr18	1200001	1300000	1250220	6453	0.04700000
chr18	1300001	1400000	1350658	8323	0.08100000
chr18	1400001	1500000	1449581	8837	0.07500000
chr18	1500001	1600000	1548397	5832	0.06400000
chr18	1600001	1700000	1647425	5546	0.13800000
chr18	1700001	1800000	1748664	6367	0.14100000
chr18	1800001	1900000	1852219	6150	0.15100000
chr18	1900001	2000000	1946230	5628	0.12300000
chr18	2000001	2100000	2048617	5852	0.16200000
chr18	2100001	2200000	2151606	5521	0.16800000
chr18	2200001	2300000	2250247	5126	0.20100000
chr18	2300001	2400000	2347408	5732	0.08100000
chr18	2400001	2500000	2449981	4496	0.16700000
chr18	2500001	2600000	2551645	5357	0.13400000
chr18	2600001	2700000	2652989	4707	0.16000000
chr18	2700001	2800000	2748306	4979	0.07800000
chr18	2800001	2900000	2848101	4506	0.14100000
chr18	2900001	3000000	2951650	5144	0.23900000
chr18	3000001	3100000	3050027	4998	0.14100000
chr18	3100001	3200000	3147735	4583	0.13400000
chr18	3200001	3300000	3251521	5845	0.08000000
chr18	3300001	3400000	3349636	6943	0.12000000
chr18	3400001	3500000	3447132	6376	0.11700000
chr18	3500001	3600000	3548374	5483	0.20100000
chr18	3600001	3700000	3648338	5012	0.20100000
chr18	3700001	3800000	3747793	5107	0.15600000
chr18	3800001	3900000	3849769	4863	0.20100000
chr18	3900001	4000000	3952193	4482	0.18000000
chr18	4000001	4100000	4053021	2451	0.04400000
chr18	4100001	4200000	4154181	4294	0.07600000
chr18	4200001	4300000	4253246	5035	0.06300000
chr18	4300001	4400000	4348341	4838	0.02300000
chr18	4400001	4500000	4450948	5813	0.03000000
chr18	4500001	4600000	4544610	5127	0.08500000
chr18	4600001	4700000	4652599	5005	0.06300000
chr18	4700001	4800000	4750518	6236	0.07600000
chr18	4800001	4900000	4849846	5230	0.20100000
chr18	4900001	5000000	4952740	5224	0.12000000
chr18	5000001	5100000	5050030	5814	0.05100000
chr18	5100001	5200000	5147719	4597	0.01700000
chr18	5200001	5300000	5250663	5551	0.15700000
chr18	5300001	5400000	5349198	6546	0.15100000
chr18	5400001	5500000	5450772	6035	0.04300000
chr18	5500001	5600000	5551035	2662	0.09000000
chr18	5600001	5700000	5651676	4164	0.20200000
chr18	5700001	5800000	5761072	4324	0.18200000
chr18	5800001	5900000	5847715	4374	0.15600000
chr18	5900001	6000000	5953661	4351	0.07700000
chr18	6000001	6100000	6051735	5599	0.06700000
chr18	6100001	6200000	6153737	6015	0.13400000
chr18	6200001	6300000	6247837	6055	0.20100000
chr18	6300001	6400000	6348694	5578	0.31500000
chr18	6400001	6500000	6456776	3171	0.25200000
chr18	6500001	6600000	6547177	4649	0.30100000
chr18	6600001	6700000	6649288	5526	0.30100000
chr18	6700001	6800000	6749924	5575	0.27200000
chr18	6800001	6900000	6851599	5661	0.20100000
chr18	6900001	7000000	6952150	5431	0.23400000
chr18	7000001	7100000	7051904	5203	0.20100000
chr18	7100001	7200000	7145221	5600	0.12800000
chr18	7200001	7300000	7248921	5289	0.05000000
chr18	7300001	7400000	7350713	5226	0.18600000
chr18	7400001	7500000	7454737	5105	0.30100000
